# Species	Genes	Alg.-Conn.	GCA_001553005.1_ASM155300v1_protein.faa	GCA_001553035.1_ASM155303v1_protein.faa	GCF_000019245.4_ASM1924v3_protein.faa	GCF_000027145.1_ASM2714v1_protein.faa	GCF_000063585.1_ASM6358v1_protein.faa	GCF_000145215.1_ASM14521v1_protein.faa	GCF_000166335.1_ASM16633v1_protein.faa	GCF_000166355.1_ASM16635v1_protein.faa	GCF_000166775.1_ASM16677v1_protein.faa	GCF_000196035.1_ASM19603v1_protein.faa	GCF_000242855.2_ASM24285v2_protein.faa	GCF_000473245.1_ASM47324v1_protein.faa	GCF_000763515.1_ASM76351v1_protein.faa	GCF_000769555.1_ASM76955v1_protein.faa	GCF_000829055.1_ASM82905v1_protein.faa	GCF_001042715.1_ASM104271v1_protein.faa	GCF_001050475.1_ASM105047v1_protein.faa	GCF_001687565.2_ASM168756v2_protein.faa	GCF_001687585.2_ASM168758v2_protein.faa	GCF_001687665.2_ASM168766v2_protein.faa	GCF_001951175.1_ASM195117v1_protein.faa	GCF_001971585.1_ASM197158v1_protein.faa	GCF_002009235.1_ASM200923v1_protein.faa	GCF_002706745.1_ASM270674v1_protein.faa	GCF_003606265.1_ASM360626v1_protein.faa	GCF_003614235.1_ASM361423v1_protein.faa	GCF_003641145.1_ASM364114v1_protein.faa	GCF_003641185.1_ASM364118v1_protein.faa	GCF_003999255.1_ASM399925v1_protein.faa	GCF_004103615.1_ASM410361v1_protein.faa	GCF_004785625.2_ASM478562v2_protein.faa	GCF_006007945.1_ASM600794v1_protein.faa	GCF_007954525.1_ASM795452v1_protein.faa	GCF_007954605.1_ASM795460v1_protein.faa	GCF_007954785.1_ASM795478v1_protein.faa	GCF_009648575.1_ASM964857v1_protein.faa	GCF_009913915.1_ASM991391v1_protein.faa	GCF_012396635.1_ASM1239663v1_protein.faa	GCF_014042035.1_ASM1404203v1_protein.faa	GCF_015234765.1_ASM1523476v1_protein.faa	GCF_016127255.1_ASM1612725v1_protein.faa	GCF_018363075.1_ASM1836307v1_protein.faa	GCF_900120125.1_PRJEB18020_protein.faa	GCF_900187165.1_52121_G02_protein.faa	GCF_900638015.1_54984_A01_protein.faa
33	40	0.282	KXB54987.1	KXB60321.1	WP_013245487.1	WP_012984950.1	WP_003358881.1	*	*	*	*	NP_464088.1	WP_003153413.1,WP_015387545.1	WP_009794817.1	WP_025279768.1	WP_003153413.1,WP_014419156.1	WP_025012770.1	WP_044823251.1,WP_044825585.1	WP_048706225.1	WP_006828546.1	WP_008497671.1	WP_065526778.1	*	WP_076616371.1	WP_058385838.1,WP_071154520.1	WP_010020403.1	WP_066677000.1	WP_003376355.1	WP_171284604.1	WP_175365124.1	*	WP_046129855.1,WP_046131531.1,WP_173427508.1	WP_112224398.1	WP_057814795.1	*	*	*	WP_045554404.1	*	WP_031550855.1	WP_043926775.1,WP_182070271.1	WP_179940624.1	*	*	WP_062171722.1	WP_089864277.1	WP_126320348.1
16	16	1	*	*	*	*	*	WP_013290572.1	WP_013412011.1	WP_013403339.1	WP_013430387.1	*	WP_014304551.1	WP_022543259.1	*	WP_017419031.1	*	WP_044826272.1	*	WP_006830140.1	WP_065527788.1	WP_065526986.1	*	*	WP_071153254.1	*	WP_066674777.1	*	*	*	WP_127351885.1	WP_231947475.1	*	*	*	*	*	*	*	*	WP_182069115.1	*	*	*	*	*	*
15	15	1	*	*	*	*	WP_012048000.1	WP_013290566.1	WP_013412016.1	WP_013403333.1	WP_013430382.1	*	WP_014305444.1	WP_009791386.1	*	WP_014305444.1	*	WP_044826261.1	*	*	*	*	*	*	*	*	WP_066674026.1	WP_039235643.1	*	*	WP_127351880.1	WP_046131781.1	*	*	*	*	*	*	*	*	WP_075752251.1	*	*	*	*	WP_089863913.1	*
5	5	1	*	*	*	*	*	WP_013290544.1	WP_013412037.1	WP_013403311.1	WP_013430360.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_127351863.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
3	3	1	*	*	*	*	*	*	*	*	*	*	WP_003154630.1	*	*	WP_022553418.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_046132425.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
23	23	1	*	*	*	WP_003748555.1	*	WP_011917393.1	WP_013412042.1	WP_011917393.1	WP_011917393.1	NP_465430.1	WP_015388074.1	WP_022544131.1	WP_014093247.1	WP_003153499.1	*	WP_044823832.1	*	WP_006829882.1	WP_065528056.1	WP_065526072.1	*	*	WP_071154480.1	*	WP_066677536.1	WP_003375133.1	*	*	WP_011917393.1	WP_046129899.1	WP_112222675.1	*	*	*	*	WP_003769411.1	*	*	WP_154997886.1	*	*	*	*	WP_171303171.1	*
16	16	1	*	*	*	*	*	WP_013290534.1	WP_013412048.1	WP_013403301.1	WP_013430350.1	*	WP_003151054.1	WP_051350523.1	*	WP_007614448.1	*	WP_052661198.1	*	WP_006829284.1	WP_008496854.1	WP_065525487.1	*	*	WP_078080675.1	*	*	*	*	*	WP_127351854.1	WP_046130269.1	WP_121635631.1	*	*	*	*	*	*	*	WP_043925194.1	*	*	*	*	*	*
16	16	1	*	*	*	*	*	WP_013290533.1	WP_013412049.1	WP_013403300.1	WP_013430349.1	*	WP_088005504.1	WP_009794711.1	*	WP_089072487.1	*	WP_044826373.1	*	WP_006831447.1	WP_008499071.1	WP_065526471.1	*	*	WP_058385480.1	*	*	*	*	*	WP_127351853.1	WP_082094132.1	WP_112223885.1	*	*	*	*	*	*	*	WP_182070408.1	*	*	*	*	*	*
20	23	0.152	*	*	WP_003566191.1	*	*	WP_013290531.1	WP_013412051.1,WP_013412840.1	WP_013403298.1	WP_013429391.1,WP_013430348.1	*	WP_007410121.1	WP_009791165.1	*	WP_007410121.1	WP_025013101.1	WP_044826384.1	*	WP_006828844.1	WP_008498026.1	WP_038704331.1	*	*	WP_058384860.1	*	*	*	*	*	WP_011917402.1,WP_039767360.1	WP_046131459.1	WP_112222945.1	*	*	*	*	*	*	*	WP_003182452.1	*	*	WP_129302573.1	*	WP_095177405.1	*
6	6	0.167	*	*	*	*	*	*	*	*	*	*	WP_007408530.1	*	WP_014092524.1	WP_014417219.1	*	*	*	*	*	*	*	WP_076614060.1	*	WP_010018067.1	*	*	*	*	*	WP_046130995.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
15	15	1	*	*	*	*	WP_011986434.1	WP_041742742.1	WP_013412067.1	WP_013403281.1	WP_013430331.1	*	WP_007408360.1	WP_022544176.1	*	WP_038461527.1	*	WP_242846892.1	*	*	*	*	*	*	*	*	WP_066676004.1	WP_003375369.1	*	*	WP_241243655.1	WP_046131872.1	*	*	*	*	*	*	*	*	WP_043927930.1	*	*	*	*	WP_089865028.1	*
20	20	1	*	*	*	*	WP_003358896.1	WP_013290512.1	WP_013412068.1	WP_013403280.1	WP_013430330.1	*	WP_003153177.1	WP_009794968.1	*	WP_003153177.1	*	WP_044824005.1	*	WP_006830432.1	WP_008499059.1	WP_065526484.1	*	*	WP_071154012.1	*	WP_066679010.1	WP_003375315.1	*	*	WP_039767756.1	WP_046131871.1	WP_112223869.1	*	*	*	*	*	*	*	WP_154994145.1	*	*	*	*	WP_095177805.1	*
10	10	1	*	*	*	*	*	WP_013290506.1	WP_013412074.1	WP_013403274.1	WP_013430324.1	*	WP_015388049.1	WP_009794748.1	*	WP_022553010.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_127351831.1	WP_065894572.1	*	*	*	*	*	*	*	*	WP_154994221.1	*	*	*	*	*	*
16	16	1	*	*	*	*	WP_011948892.1	WP_013290486.1	WP_013412088.1	WP_013403255.1	WP_013430312.1	*	WP_003154704.1	WP_009790917.1	*	WP_017417644.1	*	WP_044823117.1	*	WP_006830317.1	WP_065528339.1	WP_065525046.1	*	*	*	*	*	*	*	*	WP_127351811.1	WP_046132288.1	WP_135814839.1	*	*	*	*	*	*	*	WP_154996045.1	*	*	*	*	*	*
19	20	0.347	*	*	*	*	WP_011949040.1	WP_013290483.1	WP_013412091.1	WP_013403252.1	WP_013430309.1	*	WP_003152213.1	WP_009790819.1,WP_009795318.1	*	WP_017418431.1	*	WP_044825126.1	*	WP_006828139.1	WP_065528414.1	WP_065527480.1	*	*	WP_058386614.1	*	*	WP_003375448.1	*	*	WP_127351809.1	WP_046130690.1	WP_112224274.1	*	*	*	*	*	*	*	WP_076791172.1	*	*	*	*	WP_089864897.1	*
12	12	1	*	*	*	*	*	WP_013290450.1	WP_013412115.1	WP_013403227.1	WP_013430279.1	*	WP_015388367.1	WP_009791035.1	*	WP_021494041.1	*	WP_044825424.1	*	*	*	*	*	*	*	*	*	*	*	*	WP_127351776.1	WP_046129234.1	*	*	*	*	*	*	*	*	WP_182070072.1	*	*	WP_129301320.1	*	*	*
25	25	1	*	*	*	WP_012986379.1	WP_011948029.1	WP_013290448.1	WP_013412117.1	WP_013403225.1	WP_013430277.1	NP_465979.1	WP_003151620.1	WP_009793078.1	WP_014093671.1	WP_003151620.1	*	WP_044826394.1	*	WP_065537118.1	WP_008496070.1	WP_065526834.1	*	*	WP_071153689.1	*	WP_066675535.1	WP_120361690.1	*	*	WP_241243645.1	WP_046131104.1	WP_112224468.1	*	*	*	*	WP_003772389.1	*	*	WP_154996998.1	*	*	*	*	WP_089867470.1	WP_036105753.1
2	2	1	*	*	*	*	*	*	WP_013412163.1	*	WP_013430227.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
10	10	0.225	*	*	*	*	WP_011986399.1	WP_237698868.1	WP_013411869.1	WP_238524509.1	WP_237699051.1	*	WP_015388615.1	*	*	WP_014417063.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_127352117.1	WP_046132033.1	*	*	*	*	*	*	*	*	WP_182069192.1	*	*	*	*	*	*
18	18	1	*	*	*	WP_003753429.1	*	WP_013290369.1	WP_013412190.1	WP_013403149.1	WP_013430198.1	NP_465772.1	WP_003154804.1	WP_009795051.1	WP_003723380.1	WP_003154804.1	*	*	*	*	*	*	*	*	WP_071153387.1	WP_010020623.1	*	*	*	*	WP_127351713.1	WP_006638544.1	*	WP_057812464.1	*	*	*	WP_003723380.1	*	*	WP_003180884.1	*	*	*	*	*	WP_036104794.1
18	18	0.833	*	*	*	WP_012986294.1	*	WP_013290368.1	WP_013412191.1	WP_013403148.1	WP_013430197.1	NP_465773.1	WP_003154805.1	WP_009795050.1	WP_014093563.1	WP_003154805.1	*	*	*	*	*	*	*	*	WP_058385987.1	WP_010020625.1	*	*	*	*	WP_127351712.1	WP_046131130.1	*	WP_149029814.1	*	*	*	WP_003763620.1	*	*	WP_075753239.1	*	*	*	*	*	WP_003754411.1
39	39	0.189	*	*	WP_003564201.1	WP_012986410.1	WP_011986853.1	WP_013290367.1	WP_013412192.1	WP_013403147.1	WP_013430196.1	NP_466023.1	WP_015387864.1	WP_009791364.1	WP_014093713.1	WP_022552838.1	WP_025012521.1	WP_044825078.1	WP_048706083.1	WP_006831145.1	WP_065527878.1	WP_065526674.1	WP_057866944.1	WP_076615237.1	WP_071153184.1	WP_010020542.1	WP_066674483.1	*	WP_021731201.1	WP_050339152.1	WP_127351711.1	WP_046129654.1	WP_112224662.1	WP_057814009.1	WP_135197245.1	WP_147001121.1	WP_099045062.1	WP_003772345.1	WP_025267871.1	*	WP_182070238.1	*	WP_010281327.1	WP_129302199.1	*	WP_089862890.1	WP_036105639.1
25	25	1	*	*	*	WP_003719566.1	WP_003358923.1	WP_013290356.1	WP_013412203.1	WP_013403136.1	WP_013430185.1	NP_464820.1	WP_003154064.1	WP_022543740.1	WP_003719566.1	WP_003154064.1	*	WP_044822889.1	*	WP_006829778.1	WP_008430925.1	WP_008430925.1	*	*	WP_058384980.1	*	WP_066677398.1	WP_174226666.1	*	*	WP_039764400.1	WP_006640257.1	WP_033544068.1	*	*	*	*	WP_003719566.1	*	*	WP_003182047.1	*	*	*	*	WP_089864291.1	WP_003755367.1
16	16	1	*	*	*	*	WP_011986381.1	WP_013290352.1	WP_013412207.1	WP_013403132.1	WP_013430181.1	*	WP_003154116.1	WP_009791517.1	*	WP_003154116.1	*	WP_242846859.1	*	*	*	*	*	*	*	*	WP_066677408.1	WP_120362081.1	*	*	WP_127351699.1	WP_046132915.1	WP_112222765.1	*	*	*	*	*	*	*	WP_154997380.1	*	*	*	*	WP_095177699.1	*
16	17	0.121	*	*	*	*	*	WP_013290342.1	WP_013412217.1	WP_013403122.1	WP_013430172.1	*	WP_015387851.1	WP_022544238.1,WP_022544281.1	*	WP_022552827.1	*	*	*	WP_169823200.1	WP_065527895.1	WP_065526619.1	*	*	WP_071154334.1	*	*	WP_003376286.1	*	*	WP_127351692.1	WP_046130820.1	WP_112223722.1	*	*	*	*	*	*	*	WP_182070220.1	*	*	*	*	*	*
13	13	0.846	*	*	WP_003576695.1	*	*	WP_013290338.1	WP_013412219.1	WP_013403117.1	WP_013430170.1	*	WP_031306543.1	WP_022543867.1	*	WP_014418738.1	*	*	*	*	*	*	*	*	*	*	WP_120140484.1	*	*	*	WP_127351599.1	WP_046129948.1	*	*	*	*	*	*	*	*	WP_154999645.1	*	*	WP_129319748.1	*	*	*
23	23	0.737	*	*	*	WP_012985637.1	*	WP_013290267.1	WP_013412279.1	WP_013403034.1	WP_013430087.1	NP_464977.1	WP_015387992.1	WP_009791416.1	WP_014092828.1	WP_014418401.1	*	WP_044824988.1	*	WP_006828679.1	WP_008499010.1	WP_065526529.1	*	*	WP_078080343.1	*	*	*	WP_021731617.1	WP_050338577.1	WP_127351961.1	WP_046130014.1	WP_112223985.1	*	*	*	*	WP_033533029.1	*	*	WP_182070366.1	*	*	*	*	*	WP_126320445.1
19	19	0.559	*	*	*	WP_012985073.1	WP_012048229.1	WP_013290254.1	WP_013412290.1	WP_013403022.1	WP_013430075.1	NP_464244.1	WP_003155022.1	WP_009794115.1	WP_014092161.1	WP_022553553.1	*	*	*	*	*	*	*	*	*	*	WP_227909536.1	WP_004444044.1	*	*	WP_127351969.1	WP_046131204.1	*	*	*	*	*	WP_003770911.1	*	*	WP_154994832.1	*	*	*	*	WP_089863493.1	WP_036105057.1
17	17	0.639	*	*	*	*	WP_003400025.1	WP_013290241.1	WP_013412305.1	WP_013403009.1	WP_013430062.1	*	WP_003152349.1	WP_009795238.1	*	WP_021494473.1	*	WP_044824269.1	*	WP_006829967.1	WP_008497223.1	WP_065526734.1	*	*	WP_071154609.1	*	*	*	*	*	WP_127351981.1	WP_046129293.1	WP_165843816.1	*	*	*	*	*	*	*	WP_154998869.1	*	*	*	*	*	*
20	20	1	*	*	*	*	WP_011987025.1	WP_013290237.1	WP_013412310.1	WP_013403005.1	WP_013430058.1	*	WP_003151407.1	WP_009792990.1	*	WP_003151407.1	*	WP_242846962.1	*	WP_006828066.1	WP_008499213.1	WP_065527533.1	*	*	WP_071154085.1	*	WP_066676943.1	WP_003375016.1	*	*	WP_127352944.1	WP_046129457.1	WP_112224337.1	*	*	*	*	*	*	*	WP_043926679.1	*	*	*	*	WP_095177885.1	*
19	19	0.104	*	*	*	*	WP_011987024.1	WP_013290236.1	WP_013412311.1	WP_013403004.1	WP_013430057.1	*	WP_015387632.1	WP_022544401.1	*	WP_022553863.1	*	WP_044826132.1	*	WP_065536291.1	WP_065528402.1	WP_065527535.1	*	*	WP_071154084.1	*	WP_066676942.1	WP_120362109.1	*	*	WP_127351986.1	*	WP_112224339.1	*	*	*	*	*	*	*	WP_182069990.1	*	*	*	*	WP_095177884.1	*
6	6	1	*	*	*	WP_003746107.1	*	*	*	*	*	NP_464234.1	*	*	WP_014092152.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_046129456.1	*	*	*	*	*	WP_010990566.1	*	*	*	*	*	*	*	*	WP_036105048.1
18	18	0.733	*	*	*	*	WP_011987027.1	WP_013290235.1	WP_013412312.1	WP_013403003.1	WP_013430056.1	*	*	WP_009792988.1	*	*	*	WP_082058296.1	*	WP_065536292.1	WP_008499209.1	WP_065527536.1	*	*	WP_071154083.1	*	WP_066676945.1	WP_003375221.1	*	*	WP_127351987.1	WP_046129455.1	WP_112224340.1	*	*	*	*	*	*	*	WP_152846406.1	*	*	*	*	WP_095177887.1	*
16	21	0.229	*	*	*	WP_003724427.1	WP_011948037.1,WP_011987021.1,WP_011987022.1	WP_013290225.1	WP_013412318.1	WP_013402990.1	WP_013430040.1	NP_464217.1	*	*	WP_014092136.1	*	*	*	*	*	*	WP_065527539.1	*	*	*	*	*	WP_003375128.1	*	*	WP_127352003.1	WP_046130077.1,WP_065894693.1,WP_065894695.1	*	*	*	*	*	WP_003738355.1	*	*	WP_146874673.1	*	*	*	*	WP_095177859.1,WP_095177880.1	WP_036105025.1
20	20	1	*	*	*	*	WP_011987028.1	WP_013290222.1	WP_013412322.1	WP_013402989.1	WP_013430033.1	*	WP_003151402.1	WP_009792984.1	*	WP_003151402.1	*	WP_044826098.1	*	WP_008431704.1	WP_008499203.1	WP_008431704.1	*	*	WP_008431704.1	*	WP_066676946.1	WP_003375468.1	*	*	WP_127352009.1	WP_046130078.1	WP_112224346.1	*	*	*	*	*	*	*	WP_003185697.1	*	*	*	*	WP_095177888.1	*
20	20	1	*	*	*	*	WP_011987029.1	WP_013290221.1	WP_013412323.1	WP_013402988.1	WP_013430032.1	*	WP_003151399.1	WP_009792983.1	*	WP_003151399.1	*	WP_044826097.1	*	WP_065536296.1	WP_008499202.1	WP_065527540.1	*	*	WP_071154078.1	*	WP_066676948.1	WP_003375937.1	*	*	WP_127352010.1	WP_046130079.1	WP_112224347.1	*	*	*	*	*	*	*	WP_182071114.1	*	*	*	*	WP_095177889.1	*
20	20	0.276	*	*	*	WP_003746106.1	*	WP_013290219.1	WP_013412324.1	WP_013402984.1	WP_013430029.1	NP_464233.1	WP_003151396.1	WP_022544403.1	WP_014092151.1	WP_007407477.1	*	*	*	WP_065536287.1	WP_008499220.1	WP_065527528.1	*	*	WP_071154092.1	*	WP_066676950.1	*	*	*	WP_127352013.1	*	WP_112224332.1	*	*	*	*	WP_003760970.1	*	*	WP_182069987.1	*	*	*	*	*	WP_003754697.1
13	13	0.267	*	*	*	*	*	WP_013290218.1	WP_013412325.1	WP_013402983.1	WP_013430028.1	*	WP_015387629.1	WP_022544404.1	*	WP_014419008.1	*	WP_044826096.1	*	*	WP_008499219.1	*	*	*	WP_071154091.1	*	*	*	*	*	WP_127352014.1	WP_046130081.1	*	*	*	*	*	*	*	*	WP_176276612.1	*	*	*	*	*	*
15	15	0.285	*	*	*	*	*	WP_013290216.1	WP_013412327.1	WP_013402981.1	WP_013430026.1	*	WP_003151393.1	*	*	WP_003151393.1	*	WP_044826094.1	*	WP_065536289.1	WP_008499217.1	WP_008431730.1	*	*	WP_071154089.1	*	*	*	*	*	WP_039764893.1	WP_046130083.1	WP_112224391.1	*	*	*	*	*	*	*	WP_003185713.1	*	*	*	*	*	*
16	17	0.117	*	*	*	*	*	WP_013290215.1	WP_013412328.1	WP_013402980.1	WP_013430025.1	*	WP_003151392.1	WP_009792977.1	*	WP_014419009.1	*	WP_044826093.1,WP_044826113.1	*	WP_065537331.1	WP_040851364.1	WP_065527530.1	*	*	WP_071154088.1	*	*	*	*	*	WP_039764870.1	WP_046130084.1	WP_233786018.1	*	*	*	*	*	*	*	WP_154999584.1	*	*	*	*	*	*
19	19	0.474	*	*	*	*	WP_003357714.1	WP_041742417.1	WP_013412331.1	WP_041723117.1	WP_041741584.1	*	WP_003153347.1	WP_009794760.1	*	WP_003153347.1	*	WP_044823724.1	*	WP_006830181.1	WP_008498830.1	WP_065527259.1	*	*	WP_071153546.1	*	WP_120140460.1	WP_003376925.1	*	*	WP_193353810.1	WP_046129803.1	*	*	*	*	*	*	*	*	WP_182070438.1	*	*	*	*	WP_089865498.1	*
7	7	1	*	*	*	*	*	WP_013290197.1	WP_013412345.1	WP_013402962.1	WP_013430007.1	*	*	*	*	*	*	WP_044823985.1	*	*	*	*	*	*	*	*	*	*	*	*	WP_127351575.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_095177813.1	*
17	17	1	*	*	*	*	WP_011986444.1	WP_013290196.1	WP_013412346.1	WP_013402961.1	WP_013430006.1	*	*	WP_009794937.1	*	*	*	WP_044823984.1	*	WP_006830447.1	WP_008499049.1	WP_065526493.1	*	*	WP_071154008.1	*	WP_066673275.1	*	*	*	WP_127351574.1	WP_046131891.1	WP_112223856.1	*	*	*	*	*	*	*	WP_043927933.1	*	*	*	*	WP_095177814.1	*
12	12	0.167	*	*	*	*	*	WP_013290192.1	WP_013412351.1	WP_013402957.1	*	NP_463952.1	WP_003156766.1	WP_009792702.1	*	WP_003156766.1	*	WP_201774959.1	*	*	WP_008499191.1	*	*	*	*	*	*	*	*	*	*	*	WP_233786020.1	*	*	*	*	WP_153648393.1	*	*	*	*	*	*	*	WP_089865123.1	*
9	11	0.104	*	*	*	*	WP_011948534.1	*	*	*	WP_013430002.1	*	*	WP_022543903.1,WP_035403192.1	*	*	*	*	*	*	*	*	*	*	WP_071154554.1	*	*	*	*	*	WP_127351570.1	WP_046129380.1	WP_135814877.1,WP_135814993.1	*	*	*	*	*	*	*	WP_154998727.1	*	*	*	*	WP_095177386.1	*
18	18	0.102	*	*	WP_003562727.1	*	*	WP_013290189.1	WP_013412354.1	WP_013402954.1	WP_013429999.1	*	*	WP_035401859.1	*	*	*	*	*	WP_006829044.1	WP_008498384.1	WP_065525323.1	*	*	WP_071153334.1	WP_010018433.1	*	*	WP_021730748.1	WP_050339894.1	WP_039764605.1	WP_046129383.1	WP_112222267.1	*	*	*	*	*	*	*	WP_154998732.1	*	*	WP_129302909.1	*	*	*
10	10	0.4	*	*	*	*	WP_164928175.1	WP_013290146.1	WP_013412383.1	WP_013402918.1	*	*	WP_015387736.1	*	*	WP_014418842.1	*	WP_044822962.1	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_046129258.1	*	*	*	*	*	*	*	*	WP_154998336.1	*	*	*	*	WP_242955759.1	*
5	5	1	*	*	*	*	*	WP_013290142.1	WP_013412387.1	WP_013402911.1	WP_013429962.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_127351544.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
17	17	0.201	*	*	*	*	WP_003360814.1	WP_041742411.1	WP_013412390.1	WP_013432999.1	WP_013432999.1	*	WP_003156135.1	WP_009793110.1	*	WP_003156135.1	*	*	*	WP_006829054.1	WP_008498378.1	WP_065525317.1	*	*	WP_071153337.1	*	*	*	*	*	WP_127351542.1	WP_046131557.1	WP_084243844.1	*	*	*	*	*	*	*	WP_154994455.1	*	*	*	*	WP_095177620.1	*
25	25	1	*	*	*	WP_003720075.1	WP_003357450.1	WP_013290857.1	WP_013412396.1	WP_013402904.1	WP_013402904.1	NP_465288.1	WP_003155745.1	WP_009792553.1	WP_003720075.1	WP_003155745.1	*	WP_044823220.1	*	WP_006830139.1	WP_065527789.1	WP_065526985.1	*	*	WP_008432175.1	*	WP_120140796.1	WP_003379317.1	*	*	WP_011917815.1	WP_046130432.1	WP_101803366.1	*	*	*	*	WP_003720075.1	*	*	WP_182069114.1	*	*	*	*	WP_089863497.1	WP_036107437.1
18	20	0.193	*	*	*	*	WP_012048006.1	WP_013290882.1	WP_013412420.1	WP_013402879.1	WP_013429930.1	*	WP_014305446.1	WP_009791935.1,WP_009796266.1,WP_050767291.1	*	WP_007612673.1	*	WP_044826251.1	*	WP_006829533.1	WP_040850371.1	WP_065526345.1	*	*	WP_245830220.1	*	WP_066674003.1	WP_120361954.1	*	*	WP_127352178.1	*	*	*	*	*	*	*	*	*	WP_182070349.1	*	*	*	*	WP_095178064.1	*
15	15	1	*	*	*	*	WP_012048007.1	WP_013290883.1	WP_013412421.1	WP_013402878.1	WP_013429929.1	*	WP_003152878.1	WP_009796267.1	*	WP_022552935.1	*	WP_044826250.1	*	*	*	*	*	*	*	*	WP_066674002.1	WP_003375371.1	*	*	WP_127352179.1	WP_046131770.1	*	*	*	*	*	*	*	*	WP_182070348.1	*	*	*	*	WP_095178065.1	*
14	14	0.857	*	*	*	*	WP_011947975.1	WP_013290885.1	WP_013412422.1	WP_013402876.1	WP_013429927.1	*	WP_015388062.1	WP_009794822.1	*	WP_007409448.1	*	WP_044825753.1	*	*	*	*	*	*	*	*	*	WP_004444040.1	*	*	WP_127352180.1	WP_046129859.1	*	*	*	*	*	*	*	*	WP_182070459.1	*	*	*	*	WP_089866103.1	*
14	14	0.323	*	*	*	*	WP_012048338.1	WP_013290886.1	WP_013412423.1	WP_013402875.1	WP_013429926.1	*	WP_003154665.1	*	*	WP_014417591.1	*	*	*	*	*	*	*	*	*	*	WP_066678318.1	WP_003376062.1	*	*	WP_127352181.1	WP_046132316.1	WP_112224264.1	*	*	*	*	*	*	*	WP_182070763.1	*	*	*	*	WP_238056662.1	*
6	6	0.5	*	*	*	*	*	WP_013290888.1	WP_013412425.1	WP_013402873.1	WP_013429924.1	*	*	*	*	*	*	WP_052661265.1	*	*	*	*	*	*	*	*	*	*	*	*	WP_127352183.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
5	5	1	*	*	*	*	*	*	*	*	*	*	WP_003151218.1	WP_009792658.1	*	WP_022553911.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_046130344.1	*	*	*	*	*	*	*	*	WP_154996076.1	*	*	*	*	*	*
4	4	1	*	*	*	*	*	*	*	*	*	NP_465376.1	*	*	WP_014093193.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_046129575.1	*	*	*	*	*	WP_153648747.1	*	*	*	*	*	*	*	*	*
20	25	0.152	*	*	*	WP_012986414.1	WP_011987084.1	WP_013290892.1	WP_013412431.1	WP_013402869.1	WP_013429920.1	NP_466027.1	*	WP_022544393.1	WP_014093717.1	*	*	*	*	WP_006829532.1,WP_006829765.1,WP_154669182.1	WP_008496211.1,WP_156874342.1	WP_065525078.1,WP_083394496.1	*	*	WP_071152864.1,WP_078080390.1	*	WP_120140893.1	*	*	*	WP_241243458.1	WP_046129467.1	WP_112223088.1	*	*	*	*	WP_010991315.1	*	*	WP_154997349.1	*	*	*	*	*	WP_126320624.1
21	21	1	*	*	*	*	WP_011986795.1	WP_013290901.1	WP_013412439.1	WP_041723112.1	WP_041741574.1	NP_464966.1	WP_169510269.1	WP_022544197.1	*	WP_169510269.1	*	WP_044825909.1	*	WP_193781235.1	WP_205847845.1	WP_197681419.1	*	*	WP_179946131.1	*	WP_066676388.1	WP_003375768.1	*	*	WP_127352193.1	WP_099047060.1	WP_199711522.1	*	*	*	*	*	*	*	WP_094777424.1	*	*	*	*	WP_089864194.1	*
25	25	1	*	*	*	WP_012985540.1	WP_011986796.1	WP_013290903.1	WP_013412441.1	WP_013402859.1	WP_013429911.1	NP_464842.1	WP_003154208.1	WP_009795865.1	WP_014092709.1	WP_022553337.1	*	WP_044825911.1	*	WP_065536761.1	WP_008497945.1	WP_065525974.1	*	*	WP_071153809.1	*	WP_066676394.1	WP_120362047.1	*	*	WP_127352194.1	WP_046128932.1	WP_135815597.1	*	*	*	*	WP_003762042.1	*	*	WP_154999843.1	*	*	*	*	WP_089864188.1	WP_003756109.1
10	10	0.321	*	*	*	*	*	WP_013290911.1	WP_013412448.1	WP_013402851.1	WP_013429906.1	*	WP_003151381.1	*	*	WP_022553869.1	*	WP_044823932.1	*	*	*	*	*	*	*	*	*	*	*	*	WP_127352201.1	WP_046130093.1	*	*	*	*	*	*	*	*	WP_182069982.1	*	*	*	*	*	*
